
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 9252 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 9252 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : 4294967295) {-1} (id : -1 | off : 4294967295) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 3 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 2 | off : 66) {-1} (id : 3 | off : 66) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 3 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 2 | off : 66) {-1} (id : 3 | off : 66) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 66) {-1} (id : 2 | off : 66) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 100) {-1} (id : -1 | off : -1) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 100) {-1} (id : 2 | off : 200) {-1} (id : -1 | off : -1) {-1}
{-1} (id : 1 | off : 100) {-1} (id : 2 | off : 200) {-1} (id : 3 | off : 300) {-1}
